Word       Document   Frequency  Weight     
lev        D6         1          0.0669    
lik        D4         1          0.086     
lik        D5         1          0.1204    
limit      D2         1          0.1408    
limited,   D3         1          0.169     
listw      D1         1          0.1204    
listw      D4         1          0.086     
llm        D1         1          0.0954    
llm        D3         1          0.0954    
llm        D4         1          0.0682    
llm-based  D4         3          0.3622    
llms.      D1         1          0.169     
low-dimensional D2         1          0.1408    
many       D6         1          0.0939    
map        D6         1          0.0939    
marco      D5         2          0.2408    
marco      D6         1          0.0669    
match      D2         2          0.2007    
match      D6         1          0.0669    
maxim      D2         1          0.1408    
method     D3         1          0.0954    
method     D4         1          0.0682    
method     D5         1          0.0954    
might      D5         1          0.169     
model      D1         2          0.1204    
model      D2         6          0.301     
model      D3         1          0.0602    
model      D4         2          0.086     
model      D5         1          0.0602    
model      D6         9          0.301     
model,     D1         1          0.169     
model.     D2         1          0.1408    
models.    D6         2          0.1878    
modern     D1         1          0.169     
most       D1         1          0.169     
ms         D5         2          0.2408    
ms         D6         1          0.0669    
much       D1         1          0.169     
multi-level D3         1          0.169     
multi-tiered D3         1          0.169     
multifacet D3         2          0.338     
nat        D3         1          0.169     
nearest    D5         1          0.169     
nee        D3         1          0.169     
neighb     D5         1          0.169     
neur       D6         3          0.2817    
non-deterministic, D1         1          0.169     
not        D3         1          0.1204    
not        D5         1          0.1204    
novel      D3         1          0.1204    
novel      D4         1          0.086     
numb       D4         1          0.1207    
observ     D3         1          0.169     
obtain     D5         1          0.169     
oft        D6         1          0.0939    
ohsumed.   D2         1          0.1408    
opaqu      D1         1          0.169     
open-source D1         1          0.169     
optim      D5         1          0.169     
others.    D4         1          0.1207    
out,       D2         1          0.1408    
outcom     D1         1          0.169     
outperform D5         1          0.1204    
outperform D6         1          0.0669    
overhead.  D4         1          0.1207    
pair       D6         1          0.0939    
pairw      D4         1          0.1207    
pairwise,  D4         1          0.1207    
paramet    D1         1          0.169     
pass       D6         1          0.0939    
path       D5         1          0.169     
perform    D1         1          0.0796    
perform    D2         1          0.0663    
perform    D3         2          0.1592    
perform    D6         1          0.0442    
performance, D2         1          0.1408    
performance. D5         2          0.338     
phrase     D2         2          0.2817    
pipelin    D2         1          0.1408    
pointw     D4         1          0.1207    
pointwise, D4         1          0.1207    
poor       D4         1          0.1207    
posit      D5         1          0.169     
pres       D1         1          0.169     
prim       D3         1          0.169     
problems,  D5         1          0.169     
procedure, D4         1          0.1207    
process:   D5         1          0.169     
produc     D2         2          0.2007    
produc     D3         1          0.1204    
prompt     D4         3          0.3622    
propos     D2         1          0.0571    
propos     D3         1          0.0685    
propos     D4         2          0.0978    
propos     D5         1          0.0685    
propos     D6         3          0.1141    
propriet   D1         1          0.169     
provid     D1         1          0.169     
pseudo-relevance D6         1          0.0939    
qe         D6         3          0.2817    
quality.   D3         1          0.169     
queries,   D3         1          0.169     
queries.   D2         1          0.1003    
queries.   D3         1          0.1204    
query      D2         5          0.3316    
query      D3         5          0.3979    
query      D5         2          0.1592    
query      D6         2          0.0884    
query,     D3         1          0.169     
query-document D6         3          0.2817    
query-specific D2         1          0.1408    
query.     D2         2          0.2007    
query.     D5         2          0.2408    
query/document D5         1          0.169     
rank       D3         1          0.0954    
rank       D4         4          0.2726    
rank       D5         1          0.0954    
ranking,   D4         1          0.1207    
ranking.   D4         2          0.172     
ranking.   D6         1          0.0669    
ranking:   D6         1          0.0939    
rankvicuna, D1         1          0.169     
re-rank    D2         1          0.1408    
rec        D3         1          0.1204    
rec        D6         1          0.0669    
recogn     D3         1          0.169     
record     D2         1          0.1408    
reduc      D2         1          0.0795    
reduc      D3         1          0.0954    
reduc      D4         2          0.1363    
relev      D2         1          0.0663    
relev      D3         3          0.2388    
relev      D5         1          0.0796    
relev      D6         1          0.0442    
relevance. D6         1          0.0939    
remain     D1         1          0.169     
repres     D2         3          0.301     
repres     D3         1          0.1204    
representations, D2         1          0.1408    
reproduc   D1         1          0.169     
requir     D3         2          0.338     
rerank     D1         5          0.8451    
research   D1         2          0.2408    
research   D6         1          0.0669    
research,  D3         1          0.1204    
research,  D6         1          0.0669    
research.  D3         2          0.338     
resourc    D3         1          0.169     
result     D1         2          0.137     
result     D2         1          0.0571    
result     D3         1          0.0685    
result     D4         1          0.0489    
result     D6         1          0.038     
results.   D2         2          0.2817    
retain     D4         1          0.1207    
retriev    D1         1          0.0685    
retriev    D2         3          0.1712    
retriev    D3         3          0.2055    
retriev    D5         2          0.137     
retriev    D6         1          0.038     
rich       D2         1          0.1408    
robust     D6         1          0.0939    
scal       D3         1          0.169     
sci        D3         4          0.6761    
science,   D3         1          0.169     
scor       D3         1          0.1204    
scor       D4         1          0.086     
search     D2         1          0.1003    
search     D5         2          0.2408    
self-attention D2         1          0.1408    
sem        D2         2          0.159     
sem        D5         1          0.0954    
sem        D6         1          0.053     
sent       D2         1          0.1408    
sep        D2         2          0.2817    
set        D5         2          0.338     
setting.   D1         1          0.169     
setw       D4         1          0.1207    
sev        D5         1          0.169     
shaky      D1         1          0.169     
short      D2         1          0.1408    
shortcoming, D1         1          0.169     
show       D1         1          0.1204    
show       D6         1          0.0669    
sign       D1         1          0.0954    
sign       D3         1          0.0954    
sign       D4         1          0.0682    
simil      D5         1          0.1204    
simil      D6         1          0.0669    
size,      D4         1          0.1207    
sizes,     D2         1          0.1408    
slight     D1         1          0.169     
smal       D1         1          0.169     
spac       D2         1          0.1003    
spac       D6         1          0.0669    
space.     D2         1          0.1003    
space.     D6         1          0.0669    
stabl      D5         1          0.169     
stag       D5         1          0.169     
standard   D5         3          0.3612    
standard   D6         1          0.0669    
state-of-the-art D5         1          0.1204    
state-of-the-art D6         1          0.0669    
structure  D3         1          0.1204    
structure  D5         2          0.2408    
structure, D5         1          0.169     
study      D2         1          0.1003    
study      D4         1          0.086     
study,     D2         1          0.1408    
styl       D5         1          0.169     
sub-query  D3         1          0.169     
suboptim   D5         1          0.169     
success    D1         1          0.169     
suff       D4         1          0.1207    
summ       D2         1          0.1408    
supery     D4         1          0.1207    
task       D3         1          0.169     
task,      D3         1          0.169     
tasks.     D3         1          0.1204    
tasks.     D4         1          0.086     
techn      D5         1          0.169     
terms.     D6         1          0.0939    
test       D3         1          0.0954    
test       D4         1          0.0682    
test       D6         1          0.053     
text       D2         4          0.5634    
them.      D3         1          0.169     
this,      D3         1          0.169     
thorough   D4         1          0.1207    
threatening D1         1          0.169     
three      D6         1          0.0939    
time.      D6         1          0.0939    
tok        D2         1          0.1003    
tok        D4         2          0.172     
track      D1         1          0.169     
trade-offs D4         1          0.1207    
tradit     D3         1          0.1204    
tradit     D6         2          0.1338    
train      D5         1          0.1204    
train      D6         1          0.0669    
transformer-based D2         3          0.4225    
tre        D5         1          0.169     
trec       D1         1          0.0796    
trec       D4         1          0.0568    
trec       D5         2          0.1592    
trec       D6         1          0.0442    
trec-cds-2014 D2         1          0.1408    
tree-based D5         1          0.169     
tree.      D5         1          0.169     
two        D2         1          0.1003    
two        D5         1          0.1204    
two-stage  D5         1          0.169     
understand D2         1          0.1408    
understanding. D2         1          0.1408    
us         D2         2          0.1141    
us         D3         2          0.137     
us         D4         2          0.0978    
us         D5         2          0.137     
us         D6         3          0.1141    
valid      D3         1          0.169     
vary       D6         1          0.0939    
vect       D2         5          0.7042    
verac      D1         1          0.169     
vice-versa, D5         1          0.169     
web        D5         1          0.169     
well-known D2         1          0.1408    
within     D3         1          0.1204    
within     D4         1          0.086     
without    D3         2          0.338     
work       D1         2          0.338     
work,      D5         1          0.169     
years.     D6         1          0.0939    
yield      D1         1          0.1204    
yield      D2         1          0.1003    
zero-shot  D1         2          0.2408    
zero-shot  D4         6          0.5161    
