Word       Document   Frequency  Weight     
length     D2         1          0.1408    
lengthi    D2         1          0.1408    
leverag    D2         1          0.1003    
leverag    D6         1          0.0669    
like       D4         1          0.086     
like       D5         1          0.1204    
limit      D2         1          0.1408    
limited,   D3         1          0.169     
listwis    D1         1          0.1204    
listwis    D4         1          0.086     
llm        D1         1          0.0954    
llm        D3         1          0.0954    
llm        D4         1          0.0682    
llm-base   D4         3          0.3622    
llms.      D1         1          0.169     
low-dimension D2         1          0.1408    
mani       D6         1          0.0939    
map        D6         1          0.0939    
marco      D5         2          0.2408    
marco      D6         1          0.0669    
match      D2         2          0.2007    
match      D6         1          0.0669    
maximum    D2         1          0.1408    
method     D3         1          0.0954    
method     D4         1          0.0682    
method     D5         1          0.0954    
might      D5         1          0.169     
model      D1         2          0.1204    
model      D2         6          0.301     
model      D3         1          0.0602    
model      D4         2          0.086     
model      D5         1          0.0602    
model      D6         9          0.301     
model,     D1         1          0.169     
model.     D2         1          0.1408    
models.    D6         2          0.1878    
modern     D1         1          0.169     
mostli     D1         1          0.169     
ms         D5         2          0.2408    
ms         D6         1          0.0669    
much       D1         1          0.169     
multi-level D3         1          0.169     
multi-ti   D3         1          0.169     
multifacet D3         2          0.338     
natur      D3         1          0.169     
nearest    D5         1          0.169     
need       D3         1          0.169     
neighbor   D5         1          0.169     
neural     D6         3          0.2817    
non-deterministic, D1         1          0.169     
notabl     D3         1          0.169     
notion     D5         1          0.169     
novel      D3         1          0.1204    
novel      D4         1          0.086     
number     D4         1          0.1207    
observ     D3         1          0.169     
obtain     D5         1          0.169     
often      D6         1          0.0939    
ohsumed.   D2         1          0.1408    
opaqu      D1         1          0.169     
open-sourc D1         1          0.169     
optim      D5         1          0.169     
others.    D4         1          0.1207    
out,       D2         1          0.1408    
outcom     D1         1          0.169     
outperform D5         1          0.1204    
outperform D6         1          0.0669    
overhead.  D4         1          0.1207    
pair       D6         1          0.0939    
pairwis    D4         1          0.1207    
pairwise,  D4         1          0.1207    
paramet    D1         1          0.169     
passag     D6         1          0.0939    
path       D5         1          0.169     
perform    D1         1          0.0796    
perform    D2         1          0.0663    
perform    D3         2          0.1592    
perform    D6         1          0.0442    
performance, D2         1          0.1408    
performance. D5         2          0.338     
phrase     D2         2          0.2817    
pipelin    D2         1          0.1408    
pointwis   D4         1          0.1207    
pointwise, D4         1          0.1207    
poor       D4         1          0.1207    
posit      D5         1          0.169     
present    D1         1          0.169     
primarili  D3         1          0.169     
problems,  D5         1          0.169     
procedure, D4         1          0.1207    
process:   D5         1          0.169     
produc     D2         2          0.2007    
produc     D3         1          0.1204    
prompt     D4         3          0.3622    
propos     D2         1          0.0571    
propos     D3         1          0.0685    
propos     D4         2          0.0978    
propos     D5         1          0.0685    
propos     D6         3          0.1141    
proprietari D1         1          0.169     
provid     D1         1          0.169     
pseudo-relev D6         1          0.0939    
qe         D6         3          0.2817    
quality.   D3         1          0.169     
queri      D2         5          0.3316    
queri      D3         5          0.3979    
queri      D5         2          0.1592    
queri      D6         2          0.0884    
queries,   D3         1          0.169     
queries.   D2         1          0.1003    
queries.   D3         1          0.1204    
query,     D3         1          0.169     
query-docu D6         3          0.2817    
query-specif D2         1          0.1408    
query.     D2         2          0.2007    
query.     D5         2          0.2408    
query/docu D5         1          0.169     
rank       D3         1          0.0954    
rank       D4         4          0.2726    
rank       D5         1          0.0954    
ranking,   D4         1          0.1207    
ranking.   D4         2          0.172     
ranking.   D6         1          0.0669    
ranking:   D6         1          0.0939    
rankvicuna, D1         1          0.169     
re-rank    D2         1          0.1408    
recent     D3         1          0.1204    
recent     D6         1          0.0669    
recogn     D3         1          0.169     
record     D2         1          0.1408    
reduc      D2         1          0.1003    
reduc      D4         2          0.172     
reduct     D3         1          0.169     
relev      D2         1          0.0663    
relev      D3         3          0.2388    
relev      D5         1          0.0796    
relev      D6         1          0.0442    
relevance. D6         1          0.0939    
remain     D1         1          0.169     
repres     D2         1          0.1003    
repres     D3         1          0.1204    
represent  D2         2          0.2817    
representations, D2         1          0.1408    
reproduc   D1         1          0.169     
requir     D3         2          0.338     
rerank     D1         5          0.8451    
research   D1         2          0.2408    
research   D6         1          0.0669    
research,  D3         1          0.1204    
research,  D6         1          0.0669    
research.  D3         2          0.338     
resourc    D3         1          0.169     
result     D1         2          0.137     
result     D2         1          0.0571    
result     D3         1          0.0685    
result     D4         1          0.0489    
result     D6         1          0.038     
results.   D2         2          0.2817    
retain     D4         1          0.1207    
retriev    D1         1          0.0685    
retriev    D2         3          0.1712    
retriev    D3         3          0.2055    
retriev    D5         2          0.137     
retriev    D6         1          0.038     
richer     D2         1          0.1408    
robust     D6         1          0.0939    
scalabl    D3         1          0.169     
science,   D3         1          0.169     
scientif   D3         4          0.6761    
score      D3         1          0.1204    
score      D4         1          0.086     
search     D2         1          0.1003    
search     D5         2          0.2408    
self-attent D2         1          0.1408    
semant     D2         2          0.159     
semant     D5         1          0.0954    
semant     D6         1          0.053     
sentenc    D2         1          0.1408    
separ      D2         2          0.2817    
set        D5         2          0.338     
setting.   D1         1          0.169     
setwis     D4         1          0.1207    
sever      D5         1          0.169     
shaki      D1         1          0.169     
short      D2         1          0.1408    
shortcoming, D1         1          0.169     
show       D1         1          0.1204    
show       D6         1          0.0669    
signific   D1         1          0.1204    
signific   D3         1          0.1204    
significantli D4         1          0.1207    
similar    D5         1          0.1204    
similar    D6         1          0.0669    
size,      D4         1          0.1207    
sizes,     D2         1          0.1408    
slightli   D1         1          0.169     
smaller    D1         1          0.169     
space      D2         1          0.1003    
space      D6         1          0.0669    
space.     D2         1          0.1003    
space.     D6         1          0.0669    
stabl      D5         1          0.169     
stage      D5         1          0.169     
standard   D5         3          0.3612    
standard   D6         1          0.0669    
state-of-the-art D5         1          0.1204    
state-of-the-art D6         1          0.0669    
structur   D3         1          0.1204    
structur   D5         2          0.2408    
structure, D5         1          0.169     
studi      D2         1          0.1003    
studi      D4         1          0.086     
study,     D2         1          0.1408    
style      D5         1          0.169     
sub-queri  D3         1          0.169     
suboptim   D5         1          0.169     
success    D1         1          0.169     
suffer     D4         1          0.1207    
summar     D2         1          0.1408    
superior   D4         1          0.1207    
task       D3         1          0.169     
task,      D3         1          0.169     
tasks.     D3         1          0.1204    
tasks.     D4         1          0.086     
techniqu   D5         1          0.169     
terms.     D6         1          0.0939    
test       D3         1          0.0954    
test       D4         1          0.0682    
test       D6         1          0.053     
text       D2         4          0.5634    
them.      D3         1          0.169     
this,      D3         1          0.169     
thoroughli D4         1          0.1207    
threaten   D1         1          0.169     
three      D6         1          0.0939    
time.      D6         1          0.0939    
token      D2         1          0.1003    
token      D4         2          0.172     
track      D1         1          0.169     
trade-off  D4         1          0.1207    
tradit     D3         1          0.1204    
tradit     D6         2          0.1338    
train      D5         1          0.1204    
train      D6         1          0.0669    
transformer-bas D2         3          0.4225    
trec       D1         1          0.0796    
trec       D4         1          0.0568    
trec       D5         2          0.1592    
trec       D6         1          0.0442    
trec-cds-2014 D2         1          0.1408    
tree       D5         1          0.169     
tree-bas   D5         1          0.169     
tree.      D5         1          0.169     
two        D2         1          0.1003    
two        D5         1          0.1204    
two-stag   D5         1          0.169     
understand D2         1          0.1408    
understanding. D2         1          0.1408    
us         D4         1          0.1207    
use        D2         2          0.1141    
use        D3         1          0.0685    
use        D4         1          0.0489    
use        D5         2          0.137     
use        D6         3          0.1141    
user       D3         1          0.169     
valid      D3         1          0.169     
variat     D6         1          0.0939    
vector     D2         5          0.7042    
verac      D1         1          0.169     
vice-versa, D5         1          0.169     
web        D5         1          0.169     
well-known D2         1          0.1408    
within     D3         1          0.1204    
within     D4         1          0.086     
without    D3         2          0.338     
work       D1         2          0.338     
work,      D5         1          0.169     
years.     D6         1          0.0939    
yield      D1         1          0.1204    
yield      D2         1          0.1003    
zero-shot  D1         2          0.2408    
zero-shot  D4         6          0.5161    
