Document   word       Frequency  Weight     
2          datasets,  1          0.1408     
2          deep       3          0.2386     
2          demonst    1          0.0663     
2          dens       3          0.301      
2          design     1          0.1003     
2          docu       5          0.2854     
2          documents. 2          0.2817     
2          effect     1          0.0571     
2          elasticsearch 1          0.1408     
2          embed      1          0.0795     
2          embedding-based 2          0.2007     
2          employed.  1          0.1408     
2          encod      2          0.2007     
2          engine,    1          0.1408     
2          expand     2          0.2007     
2          expery     1          0.0795     
2          fin        1          0.1408     
2          finally,   1          0.1408     
2          fine-tuned 1          0.1408     
2          fix        1          0.1408     
2          framework  1          0.1003     
2          ful        1          0.1003     
2          gap,       1          0.1408     
2          gen        1          0.1003     
2          improv     1          0.0795     
2          index      1          0.1003     
2          inputs,    1          0.1408     
2          interact   1          0.1408     
2          larg       1          0.0663     
2          learn      2          0.1326     
2          leng       1          0.1408     
2          lengthy    1          0.1408     
2          lev        1          0.1003     
2          limit      1          0.1408     
2          low-dimensional 1          0.1408     
2          match      2          0.2007     
2          maxim      1          0.1408     
2          model      6          0.301      
2          model.     1          0.1408     
2          ohsumed.   1          0.1408     
2          out,       1          0.1408     
2          perform    1          0.0663     
2          performance, 1          0.1408     
2          phrase     2          0.2817     
2          pipelin    1          0.1408     
2          produc     2          0.2007     
2          propos     1          0.0571     
2          queries.   1          0.1003     
2          query      5          0.3316     
2          query-specific 1          0.1408     
2          query.     2          0.2007     
2          re-rank    1          0.1408     
2          record     1          0.1408     
2          reduc      1          0.0795     
2          relev      1          0.0663     
2          repres     3          0.301      
2          representations, 1          0.1408     
2          result     1          0.0571     
2          results.   2          0.2817     
2          retriev    3          0.1712     
2          rich       1          0.1408     
2          search     1          0.1003     
2          self-attention 1          0.1408     
2          sem        2          0.159      
2          sent       1          0.1408     
2          sep        2          0.2817     
2          short      1          0.1408     
2          sizes,     1          0.1408     
2          spac       1          0.1003     
2          space.     1          0.1003     
2          study      1          0.1003     
2          study,     1          0.1408     
2          summ       1          0.1408     
2          text       4          0.5634     
2          tok        1          0.1003     
2          transformer-based 3          0.4225     
2          trec-cds-2014 1          0.1408     
2          two        1          0.1003     
2          understand 1          0.1408     
2          understanding. 1          0.1408     
2          us         2          0.1141     
2          vect       5          0.7042     
2          well-known 1          0.1408     
2          yield      1          0.1003     

3          (doris-mae), 1          0.169      
3          (llms)     1          0.0954     
3          100        2          0.338      
3          17         1          0.169      
3          4,000      1          0.169      
3          500x       1          0.169      
3          abl        1          0.169      
3          addit      1          0.1204     
3          address    1          0.0796     
3          also       1          0.0796     
3          anno-gpt,  1          0.169      
3          annot      4          0.6761     
3          annotation, 1          0.169      
3          annotation. 1          0.169      
3          approach   1          0.0954     
3          aspect-based 1          0.169      
3          assembl    1          0.169      
3          bas        1          0.0954     
3          benchmark  1          0.169      
3          bet        1          0.169      
3          cas        1          0.169      
3          cases.     1          0.169      
3          collect    1          0.1204     
3          comp       1          0.0796     
3          complex    5          0.8451     
3          complex,   2          0.338      
3          comprom    1          0.169      
3          comput     1          0.0796     
3          consist    1          0.1204     
3          cost       1          0.1204     
3          cost,      1          0.169      
3          critical.  1          0.169      
3          dataset    5          0.4771     
3          datasets.  1          0.1204     
3          design     1          0.1204     
3          develop    1          0.169      
3          docu       3          0.2055     
3          doris-mae  2          0.338      
3          doris-mae, 1          0.169      
3          drop       1          0.169      
3          due        2          0.338      
3          effect     2          0.137      
3          effort     1          0.169      
3          evalu      2          0.1908     
3          ex         1          0.0954     
3          expert     1          0.169      
3          expert-level 1          0.169      
3          extend     1          0.169      
3          field      1          0.169      
3          framework  1          0.1204     
3          furthermore, 1          0.169      
3          handl      2          0.338      
3          high       1          0.0954     
3          highlight  1          0.169      
3          human-authored 1          0.169      
3          introduc   1          0.1204     
3          lab        1          0.169      
3          langu      1          0.0954     
3          larg       1          0.0796     
3          limited,   1          0.169      
3          llm        1          0.0954     
3          method     1          0.0954     
3          model      1          0.0602     
3          multi-level 1          0.169      
3          multi-tiered 1          0.169      
3          multifacet 2          0.338      
3          nat        1          0.169      
3          nee        1          0.169      
3          not        1          0.1204     
3          novel      1          0.1204     
3          observ     1          0.169      
3          perform    2          0.1592     
3          prim       1          0.169      
3          produc     1          0.1204     
3          propos     1          0.0685     
3          quality.   1          0.169      
3          queries,   1          0.169      
3          queries.   1          0.1204     
3          query      5          0.3979     
3          query,     1          0.169      
3          rank       1          0.0954     
3          rec        1          0.1204     
3          recogn     1          0.169      
3          reduc      1          0.0954     
3          relev      3          0.2388     
3          repres     1          0.1204     
3          requir     2          0.338      
3          research,  1          0.1204     
3          research.  2          0.338      
3          resourc    1          0.169      
3          result     1          0.0685     
3          retriev    3          0.2055     
3          scal       1          0.169      
3          sci        4          0.6761     
3          science,   1          0.169      
3          scor       1          0.1204     
3          sign       1          0.0954     
3          structure  1          0.1204     
3          sub-query  1          0.169      
3          task       1          0.169      
3          task,      1          0.169      
3          tasks.     1          0.1204     
3          test       1          0.0954     
3          them.      1          0.169      
3          this,      1          0.169      
3          tradit     1          0.1204     
3          us         2          0.137      
3          valid      1          0.169      
3          within     1          0.1204     
3          without    2          0.338      

4          (llms)     1          0.0682     
4          allow      1          0.086      
4          also       1          0.0568     
4          among      1          0.1207     
4          amount     1          0.1207     
4          approach   7          0.4771     
4          approach.  2          0.2415     
4          begin      1          0.1207     
4          beir       1          0.1207     
4          benchmark. 1          0.1207     
4          comp       1          0.0568     
4          comput     2          0.1137     
4          consid     2          0.2415     
4          consist    1          0.086      
4          consum     1          0.1207     
4          consumption, 1          0.1207     
4          conversely, 1          0.1207     
4          cost       1          0.086      
4          dataset    1          0.0682     
4          demonst    2          0.1137     
4          dl         1          0.1207     
4          docu       2          0.0978     
4          effect     3          0.1468     
4          effectiveness. 2          0.2415     
4          efficiency, 1          0.1207     
4          efficy     3          0.258      
4          empir      1          0.1207     
4          enh        1          0.1207     
4          evalu      2          0.1363     
4          ex         1          0.0682     
4          expery     1          0.0682     
4          fact       1          0.1207     
4          find       1          0.086      
4          first-of-its-kind 1          0.1207     
4          framework, 1          0.1207     
4          high       3          0.2045     
4          ident      1          0.1207     
4          impress    1          0.1207     
4          improv     1          0.0682     
4          ind        1          0.1207     
4          inf        1          0.1207     
4          inh        1          0.1207     
4          int        1          0.1207     
4          langu      1          0.0682     
4          larg       1          0.0568     
4          latency,   1          0.1207     
4          lik        1          0.086      
4          listw      1          0.086      
4          llm        1          0.0682     
4          llm-based  3          0.3622     
4          method     1          0.0682     
4          model      2          0.086      
4          novel      1          0.086      
4          numb       1          0.1207     
4          others.    1          0.1207     
4          overhead.  1          0.1207     
4          pairw      1          0.1207     
4          pairwise,  1          0.1207     
4          pointw     1          0.1207     
4          pointwise, 1          0.1207     
4          poor       1          0.1207     
4          procedure, 1          0.1207     
4          prompt     3          0.3622     
4          propos     2          0.0978     
4          rank       4          0.2726     
4          ranking,   1          0.1207     
4          ranking.   2          0.172      
4          reduc      2          0.1363     
4          result     1          0.0489     
4          retain     1          0.1207     
4          scor       1          0.086      
4          setw       1          0.1207     
4          sign       1          0.0682     
4          size,      1          0.1207     
4          study      1          0.086      
4          suff       1          0.1207     
4          supery     1          0.1207     
4          tasks.     1          0.086      
4          test       1          0.0682     
4          thorough   1          0.1207     
4          tok        2          0.172      
4          trade-offs 1          0.1207     
4          trec       1          0.0568     
4          us         2          0.0978     
4          within     1          0.086      
4          zero-shot  6          0.5161     

5          (a)        1          0.169      
5          (anns)     1          0.169      
5          (b)        1          0.169      
5          (dev       1          0.169      
5          (ivf)      1          0.169      
5          (mrr@10)   1          0.169      
5          (ndcg@10)  1          0.169      
5          (sota)     1          0.169      
5          --         2          0.338      
5          0.6%       1          0.169      
5          4.2%       1          0.169      
5          an         3          0.5071     
5          anns.      1          0.169      
5          approxim   1          0.169      
5          benchmarks, 1          0.169      
5          benchmarks. 1          0.169      
5          budget,    1          0.169      
5          capt       1          0.169      
5          comput     1          0.0796     
5          contrast   1          0.169      
5          datasets.  1          0.1204     
5          de-facto   1          0.169      
5          demonst    1          0.0796     
5          dens       2          0.2408     
5          dev        1          0.169      
5          discret    1          0.169      
5          disjoint;  1          0.169      
5          dl19       1          0.169      
5          dl19)      1          0.169      
5          docu       4          0.2739     
5          dual       2          0.338      
5          effect     1          0.0685     
5          efficy     2          0.2408     
5          eh         5          0.8451     
5          emb        1          0.169      
5          embed      4          0.3817     
5          embedding-based 1          0.1204     
5          encod      2          0.2408     
5          end-to-end 1          0.169      
5          ens        1          0.169      
5          example,   1          0.169      
5          fil        1          0.169      
5          find       1          0.1204     
5          giv        2          0.338      
5          hierarch   1          0.169      
5          ill-suited 1          0.169      
5          includ     1          0.169      
5          index      2          0.2408     
5          industry   2          0.338      
5          introduc   1          0.1204     
5          invert     1          0.169      
5          joint      1          0.169      
5          lead       1          0.169      
5          learn      5          0.3979     
5          lik        1          0.1204     
5          marco      2          0.2408     
5          method     1          0.0954     
5          might      1          0.169      
5          model      1          0.0602     
5          ms         2          0.2408     
5          nearest    1          0.169      
5          neighb     1          0.169      
5          not        1          0.1204     
5          obtain     1          0.169      
5          optim      1          0.169      
5          outperform 1          0.1204     
5          path       1          0.169      
5          performance. 2          0.338      
5          posit      1          0.169      
5          problems,  1          0.169      
5          process:   1          0.169      
5          propos     1          0.0685     
5          query      2          0.1592     
5          query.     2          0.2408     
5          query/document 1          0.169      
5          rank       1          0.0954     
5          relev      1          0.0796     
5          retriev    2          0.137      
5          search     2          0.2408     
5          sem        1          0.0954     
5          set        2          0.338      
5          sev        1          0.169      
5          simil      1          0.1204     
5          stabl      1          0.169      
5          stag       1          0.169      
5          standard   3          0.3612     
5          state-of-the-art 1          0.1204     
5          structure  2          0.2408     
5          structure, 1          0.169      
5          styl       1          0.169      
5          suboptim   1          0.169      
5          techn      1          0.169      
5          train      1          0.1204     
5          tre        1          0.169      
5          trec       2          0.1592     
5          tree-based 1          0.169      
5          tree.      1          0.169      
5          two        1          0.1204     
5          two-stage  1          0.169      
5          us         2          0.137      
5          vice-versa, 1          0.169      
5          web        1          0.169      
5          work,      1          0.169      

6          (ir)       1          0.0939     
6          (qe)       1          0.0939     
6          04         1          0.0939     
6          addit      1          0.0669     
6          address    1          0.0442     
6          adopt      1          0.0939     
6          aim        1          0.0939     
6          allow      1          0.0669     
6          also       1          0.0442     
6          ap         1          0.0669     
6          autoencoder. 1          0.0939     
6          bas        1          0.053      
6          baselines. 1          0.0939     
6          collect    1          0.0669     
6          common     1          0.0939     
6          comput     1          0.0442     
6          condit     1          0.0939     
6          dat        1          0.0669     
6          dataset    1          0.053      
6          deep       1          0.053      
6          demonst    1          0.0442     
6          docu       2          0.0761     
6          embed      2          0.106      
6          emerg      1          0.0939     
6          estim      1          0.0939     
6          evalu      1          0.053      
6          ex         1          0.053      
6          expand     4          0.2676     
6          feedback   2          0.1878     
6          first      1          0.0669     
6          foc        1          0.0939     
6          gap        1          0.0939     
6          gen        2          0.1338     
6          gov02,     1          0.0939     
6          high       1          0.053      
6          however,   1          0.0939     
6          ign        1          0.0939     
6          improv     1          0.053      
6          inform     1          0.0669     
6          interaction, 1          0.0939     
6          interactions. 1          0.0939     
6          ir         1          0.0939     
6          lat        2          0.1878     
6          learn      2          0.0884     
6          lev        1          0.0669     
6          many       1          0.0939     
6          map        1          0.0939     
6          marco      1          0.0669     
6          match      1          0.0669     
6          model      9          0.301      
6          models.    2          0.1878     
6          ms         1          0.0669     
6          neur       3          0.2817     
6          oft        1          0.0939     
6          outperform 1          0.0669     
6          pair       1          0.0939     
6          pass       1          0.0939     
6          perform    1          0.0442     
6          propos     3          0.1141     
6          pseudo-relevance 1          0.0939     
6          qe         3          0.2817     
6          query      2          0.0884     
6          query-document 3          0.2817     
6          ranking.   1          0.0669     
6          ranking:   1          0.0939     
6          rec        1          0.0669     
6          relev      1          0.0442     
6          relevance. 1          0.0939     
6          research   1          0.0669     
6          research,  1          0.0669     
6          result     1          0.038      
6          retriev    1          0.038      
6          robust     1          0.0939     
6          sem        1          0.053      
6          show       1          0.0669     
6          simil      1          0.0669     
6          spac       1          0.0669     
6          space.     1          0.0669     
6          standard   1          0.0669     
6          state-of-the-art 1          0.0669     
6          terms.     1          0.0939     
6          test       1          0.053      
6          three      1          0.0939     
6          time.      1          0.0939     
6          tradit     2          0.1338     
6          train      1          0.0669     
6          trec       1          0.0442     
6          us         3          0.1141     
6          vary       1          0.0939     
6          years.     1          0.0939     

