Word       Document   Frequency  Weight     
labor      D3         1          0.1056    
languag    D1         1          0.0954    
languag    D3         1          0.0596    
languag    D4         1          0.053     
larg       D1         1          0.0796    
larg       D2         1          0.0497    
larg       D3         1          0.0497    
larg       D4         1          0.0442    
latenc     D4         1          0.0939    
latent     D6         2          0.1537    
lead       D5         1          0.169     
learn      D1         1          0.0796    
learn      D2         2          0.0995    
learn      D5         5          0.3979    
learn      D6         2          0.0724    
length     D2         1          0.1056    
lengthi    D2         1          0.1056    
leverag    D2         1          0.0753    
leverag    D6         1          0.0547    
like       D4         1          0.0669    
like       D5         1          0.1204    
limit      D2         1          0.0753    
limit      D3         1          0.0753    
listwis    D1         1          0.1204    
listwis    D4         1          0.0669    
llm        D1         3          0.2863    
llm        D3         2          0.1193    
llm        D4         2          0.106     
llm-base   D4         3          0.2817    
low-dimension D2         1          0.1056    
mani       D6         1          0.0768    
map        D6         1          0.0768    
marco      D5         2          0.2408    
marco      D6         1          0.0547    
match      D2         2          0.1505    
match      D6         1          0.0547    
maximum    D2         1          0.1056    
method     D3         1          0.0596    
method     D4         1          0.053     
method     D5         1          0.0954    
might      D5         1          0.169     
model      D1         3          0.1806    
model      D2         7          0.2634    
model      D3         1          0.0376    
model      D4         2          0.0669    
model      D5         1          0.0602    
model      D6         11         0.301     
modern     D1         1          0.169     
mostli     D1         1          0.169     
mrr@10     D5         1          0.169     
ms         D5         2          0.2408    
ms         D6         1          0.0547    
much       D1         1          0.169     
multi-level D3         1          0.1056    
multi-ti   D3         1          0.1056    
multifacet D3         2          0.2113    
natur      D3         1          0.1056    
ndcg@10    D5         1          0.169     
nearest    D5         1          0.169     
need       D3         1          0.1056    
neighbor   D5         1          0.169     
neural     D6         3          0.2305    
non-determinist D1         1          0.169     
notabl     D3         1          0.1056    
notion     D5         1          0.169     
novel      D3         1          0.0753    
novel      D4         1          0.0669    
number     D4         1          0.0939    
observ     D3         1          0.1056    
obtain     D5         1          0.169     
often      D6         1          0.0768    
ohsum      D2         1          0.1056    
opaqu      D1         1          0.169     
open-sourc D1         1          0.169     
optim      D5         1          0.169     
other      D4         1          0.0939    
outcom     D1         1          0.169     
outperform D5         1          0.1204    
outperform D6         1          0.0547    
overhead   D4         1          0.0939    
pair       D6         1          0.0768    
pairwis    D4         2          0.1878    
paramet    D1         1          0.169     
passag     D6         1          0.0768    
path       D5         1          0.169     
perform    D1         1          0.0685    
perform    D2         2          0.0856    
perform    D3         2          0.0856    
perform    D5         2          0.137     
perform    D6         1          0.0311    
phrase     D2         2          0.2113    
pipelin    D2         1          0.1056    
pointwis   D4         2          0.1878    
poor       D4         1          0.0939    
posit      D5         1          0.169     
present    D1         1          0.169     
primarili  D3         1          0.1056    
problem    D5         1          0.169     
procedur   D4         1          0.0939    
process    D5         1          0.169     
produc     D2         2          0.1505    
produc     D3         1          0.0753    
prompt     D4         3          0.2817    
propos     D2         1          0.0428    
propos     D3         1          0.0428    
propos     D4         2          0.0761    
propos     D5         1          0.0685    
propos     D6         3          0.0934    
proprietari D1         1          0.169     
provid     D1         1          0.169     
pseudo-relev D6         1          0.0768    
qe         D6         4          0.3073    
qualiti    D3         1          0.1056    
queri      D2         8          0.3979    
queri      D3         8          0.3979    
queri      D5         4          0.3184    
queri      D6         2          0.0724    
query-docu D6         3          0.2305    
query-specif D2         1          0.1056    
query/docu D5         1          0.169     
rank       D3         1          0.0497    
rank       D4         7          0.3095    
rank       D5         1          0.0796    
rank       D6         2          0.0724    
rankvicuna D1         1          0.169     
re-rank    D2         1          0.1056    
recent     D3         1          0.0753    
recent     D6         1          0.0547    
recogn     D3         1          0.1056    
record     D2         1          0.1056    
reduc      D2         1          0.0753    
reduc      D4         2          0.1338    
reduct     D3         1          0.1056    
relev      D2         1          0.0497    
relev      D3         3          0.1492    
relev      D5         1          0.0796    
relev      D6         2          0.0724    
remain     D1         1          0.169     
repres     D2         1          0.0753    
repres     D3         1          0.0753    
represent  D2         3          0.3169    
reproduc   D1         1          0.169     
requir     D3         2          0.2113    
rerank     D1         5          0.8451    
research   D1         2          0.1908    
research   D3         3          0.1789    
research   D6         2          0.0867    
resourc    D3         1          0.1056    
result     D1         2          0.137     
result     D2         3          0.1284    
result     D3         1          0.0428    
result     D4         1          0.038     
result     D6         1          0.0311    
retain     D4         1          0.0939    
retriev    D1         1          0.0685    
retriev    D2         3          0.1284    
retriev    D3         3          0.1284    
retriev    D5         2          0.137     
retriev    D6         1          0.0311    
richer     D2         1          0.1056    
robust     D6         1          0.0768    
sbert      D2         1          0.1056    
scalabl    D3         1          0.1056    
scienc     D3         1          0.1056    
scientif   D3         4          0.4225    
score      D3         1          0.0753    
score      D4         1          0.0669    
search     D2         1          0.0753    
search     D5         2          0.2408    
self-attent D2         1          0.1056    
semant     D2         2          0.1193    
semant     D5         1          0.0954    
semant     D6         1          0.0434    
sentenc    D2         1          0.1056    
separ      D2         2          0.2113    
set        D1         1          0.1204    
set        D5         2          0.2408    
setwis     D4         1          0.0939    
sever      D5         1          0.169     
shaki      D1         1          0.169     
short      D2         1          0.1056    
shortcom   D1         1          0.169     
show       D1         1          0.1204    
show       D6         1          0.0547    
signific   D1         1          0.1204    
signific   D3         1          0.0753    
significantli D4         1          0.0939    
similar    D5         1          0.1204    
similar    D6         1          0.0547    
size       D2         1          0.0753    
size       D4         1          0.0669    
slightli   D1         1          0.169     
smaller    D1         1          0.169     
sota       D5         1          0.169     
space      D2         2          0.1505    
space      D6         2          0.1095    
stabl      D5         1          0.169     
stage      D5         1          0.169     
standard   D5         3          0.3612    
standard   D6         1          0.0547    
state-of-the-art D5         1          0.1204    
state-of-the-art D6         1          0.0547    
structur   D3         1          0.0753    
structur   D5         3          0.3612    
studi      D2         2          0.1505    
studi      D4         1          0.0669    
style      D5         1          0.169     
sub-queri  D3         1          0.1056    
suboptim   D5         1          0.169     
success    D1         1          0.169     
suffer     D4         1          0.0939    
summar     D2         1          0.1056    
superior   D4         1          0.0939    
task       D3         3          0.2258    
task       D4         1          0.0669    
techniqu   D5         1          0.169     
term       D6         1          0.0768    
test       D3         1          0.0596    
test       D4         1          0.053     
test       D6         1          0.0434    
text       D2         4          0.4225    
thoroughli D4         1          0.0939    
threaten   D1         1          0.169     
three      D6         1          0.0768    
time       D6         1          0.0768    
token      D2         1          0.0753    
token      D4         2          0.1338    
track      D1         1          0.169     
trade-off  D4         1          0.0939    
tradit     D3         1          0.0753    
tradit     D6         2          0.1095    
train      D5         1          0.1204    
train      D6         1          0.0547    
transformer-bas D2         3          0.3169    
trec       D1         1          0.0796    
trec       D4         1          0.0442    
trec       D5         2          0.1592    
trec       D6         1          0.0362    
trec-cds-2014 D2         1          0.1056    
tree       D5         2          0.338     
tree-bas   D5         1          0.169     
two        D2         1          0.0753    
two        D5         1          0.1204    
two-stag   D5         1          0.169     
understand D2         2          0.2113    
us         D4         1          0.0939    
use        D2         2          0.0856    
use        D3         1          0.0428    
use        D4         1          0.038     
use        D5         2          0.137     
use        D6         3          0.0934    
user       D3         1          0.1056    
valid      D3         1          0.1056    
variat     D6         1          0.0768    
vector     D2         5          0.5282    
verac      D1         1          0.169     
vice-versa D5         1          0.169     
web        D5         1          0.169     
well-known D2         1          0.1056    
within     D3         1          0.0753    
within     D4         1          0.0669    
without    D3         2          0.2113    
work       D1         2          0.2408    
work       D5         1          0.1204    
year       D6         1          0.0768    
yield      D1         1          0.1204    
yield      D2         1          0.0753    
zero-shot  D1         2          0.2408    
zero-shot  D4         6          0.4014    
